time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
213,-0.0009223335813171945,15.86860845131533,15.672754108917204,16.89188412167616,2,671.6972,453.49985,0.5790555,15,2,21,2
214,-0.0008830448568448103,15.86860845131533,15.672755548709997,19.233548601387696,1,538.423,0,0.6017698,12,2,28,1
215,-0.0009267051783185378,15.86860845131533,15.67275366852006,19.918538303189237,1,507.26224,0,0.59127456,12,1,35,0
216,-0.0008724783609375569,15.86860845131533,15.672755064723162,18.293846878825722,1,586.38635,0,0.6119225,14,1,40,0
217,-0.0008566424881395467,15.86860845131533,15.672753456851886,15.944426708565652,2,741.1069,569.16675,0.5504948,14,2,28,2
218,-0.0008057353770526238,15.86860845131533,15.672753977937969,16.22469406254908,2,719.4305,596.9866,0.6242887,15,1,32,0
219,-0.0007498241275823659,15.86860845131533,15.672753243061392,16.68923427773623,2,685.65106,536.6391,0.6132106,14,2,28,1
220,-0.0007606961280322346,15.86860845131533,15.67275292749894,16.259029789283638,2,716.8442,539.5232,0.5091832,14,2,28,1
221,-0.0007748281276794815,15.86860845131533,15.672753955050124,16.44909901802405,2,702.79065,591.2048,0.647576,16,2,40,1
222,-0.0007558456056242268,15.86860845131533,15.672754012003063,16.229203530979454,2,719.08997,652.5707,0.5598393,18,1,48,0
223,-0.0008031671718023822,15.86860845131533,15.672753421149384,15.213818945962755,2,802.75653,569.71924,0.5814829,17,3,32,2
224,-0.0007967016813664523,15.86860845131533,15.672754566123421,14.829853955190355,2,838.48615,608.21387,0.51593065,15,2,28,1
225,-0.0007746624277477516,15.86860845131533,15.672753699716923,15.543677585892988,2,773.95215,682.26306,0.54426545,16,2,32,1
226,0.0033345937313451,15.86860845131533,15.67275337345287,16.133983778501776,2,726.33484,721.0208,0.5470072,16,2,40,1
227,0.006279316191757993,15.86860845131533,15.673443512935915,14.660019085783057,2,855.1017,710.2865,0.640971,17,2,32,2
228,0.008552685349927624,15.86860845131533,15.672526412294946,15.86037710368757,2,747.80994,640.13495,0.6398988,18,3,28,2
229,0.010456561405336434,15.86860845131533,15.67234326491807,15.83632109906298,2,749.74615,650.42993,0.6984177,17,2,45,1
230,0.012172343671011821,15.86860845131533,15.672373761355342,13.54754149035022,2,978.1518,692.071,0.6351952,19,2,40,1
231,0.01380962058649127,15.86860845131533,15.67244387164689,16.573401520454826,1,693.8348,0,0.70307255,19,1,60,0
232,0.015435588186094253,15.86860845131533,15.672500471230666,12.71091784709081,2,1090.3536,738.65643,0.59449357,21,2,45,2
233,0.017092481284944304,15.86860845131533,15.672532761310803,12.336369843966681,2,1147.3503,788.3671,0.6054617,17,2,45,1
234,0.018807831079359516,15.86860845131533,15.672543077800901,12.790994230663875,2,1078.7506,772.47076,0.6335764,23,2,60,1
235,0.0206004837442876,15.86860845131533,15.67253649462276,12.430572732003752,2,1132.5773,808.2762,0.64700896,21,2,54,1
236,0.022484125304203628,15.86860845131533,15.672517531275263,12.581992290993425,2,1109.4557,732.2404,0.5979139,24,2,70,1
237,0.024469341935632487,15.86860845131533,15.672489423818046,11.248989450891392,2,1342.6567,690.67426,0.6067348,25,2,60,1
238,0.026564820682934677,15.86860845131533,15.672454221223585,16.325068215287136,2,711.9112,611.9537,0.6918973,20,1,60,0
239,0.028778045886585835,15.86860845131533,15.672413073720746,7.702922715304987,2,2559.363,974.4453,0.6044299,24,2,60,1
240,0.031115699958824957,15.86860845131533,15.67236650668481,7.995077160084712,2,2402.0938,982.30096,0.6216304,26,1,70,0
241,0.03358389096821375,15.86860845131533,15.672314630334865,7.619410991930684,2,2607.3352,1028.3431,0.6942946,22,1,66,0
242,0.03618827878428531,15.86860845131533,15.672257287015105,7.4335616961927675,2,2719.3606,1188.5814,0.60877997,26,1,77,0
243,0.03893414164425812,15.86860845131533,15.672194150526048,7.714056151410539,2,2553.0735,1285.5684,0.66811174,28,1,77,0
244,0.04182640738916146,15.86860845131533,15.672124791848699,7.545652418440749,2,2650.9028,1172.786,0.6903446,27,1,88,0
245,0.044869663279162114,15.86860845131533,15.67204872230344,7.647607815834387,3,2590.9795,1110.487,0.65165323,27,2,77,1
246,0.04806815229649147,15.86860845131533,15.671965421883439,6.871209871913069,3,3109.334,1023.6547,0.69783175,29,2,66,1
